adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
כהן יעקב 34,14.11.2017,63,24920,5.0,2,1970,14,11,2017,1569960.0
הצפירה 9,9.11.2017,46,25000,3.0,1,1976,9,11,2017,1150000.0
אנילביץ 17,1.11.2017,35,25714,2.0,1,1960,1,11,2017,899990.0
קורצ'ק יאנוש 6,31.10.2017,49,24183,2.0,1,1990,31,10,2017,1184967.0
"ש""י עגנון 12",29.10.2017,39,26923,3.0,4,1970,29,10,2017,1049997.0
אש שלום 3,29.10.2017,47,25531,3.0,2,1975,29,10,2017,1199957.0
קורצ'ק יאנוש 6,19.10.2017,49,21632,2.0,3,1993,19,10,2017,1059968.0
צייטלין 20,15.10.2017,48,21250,2.5,2,1970,15,10,2017,1020000.0
אנילביץ 5,3.10.2017,47,23723,3.0,1,1960,3,10,2017,1114981.0
כהן יעקב 40,3.10.2017,38,28947,2.0,1,1970,3,10,2017,1099986.0
הרב מינץ 10,27.9.2017,54,22037,3.0,0,1800,27,9,2017,1189998.0
צייטלין 6,19.9.2017,41,28536,3.0,3,1960,19,9,2017,1169976.0
הרב מינץ 13,18.9.2017,35,37142,4.0,1,1970,18,9,2017,1299970.0
שניאור זלמן 35,12.9.2017,46,27826,4.0,4,1975,12,9,2017,1279996.0
אריאב חיים 23,10.9.2017,46,25543,3.0,1,1960,10,9,2017,1174978.0
סנש חנה 6,1.9.2017,66,19242,3.5,2,1980,1,9,2017,1269972.0
אריאב חיים 10,22.8.2017,40,32000,4.0,2,1964,22,8,2017,1280000.0
אנילביץ 27,20.8.2017,105,16666,5.0,2,1970,20,8,2017,1749930.0
"עגנון ש""י 13",16.8.2017,42,31547,4.0,1,1970,16,8,2017,1324974.0
"ש""י עגנון 6",10.8.2017,39,29230,3.0,2,1970,10,8,2017,1139970.0
פוזננסקי 2 ראשון לציון,8.8.2017,60,23333,3.0,2,1960,8,8,2017,1399980.0
גולינקין 2,26.7.2017,47,15904,4.0,3,1975,26,7,2017,747488.0
הכנסת 3,23.7.2017,46,22391,3.0,4,1960,23,7,2017,1029986.0
ספינת השלושה 17,17.7.2017,35,12857,3.5,0,1959,17,7,2017,449995.0
שניאור זלמן 39,16.7.2017,46,32608,4.5,1,1970,16,7,2017,1499968.0
צייטלין 7,15.7.2017,47,20000,3.0,3,1960,15,7,2017,940000.0
תורה ועבודה 8,13.7.2017,39,28717,3.0,4,1970,13,7,2017,1119963.0
הצפירה 3,11.7.2017,46,26086,3.0,2,1960,11,7,2017,1199956.0
אנילביץ 49,10.7.2017,57,22807,3.0,1,1970,10,7,2017,1299999.0
תורה ועבודה 27,7.7.2017,40,20000,3.0,3,1965,7,7,2017,800000.0
שניאור זלמן 24,4.7.2017,65,19846,3.5,2,1974,4,7,2017,1289990.0
אנילביץ 45,23.6.2017,57,17614,3.0,2,1950,23,6,2017,1003998.0
שניאור זלמן 36,18.6.2017,100,11000,3.5,4,1987,18,6,2017,1100000.0
צייטלין 22,15.6.2017,63,17460,3.0,2,1970,15,6,2017,1099980.0
