adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
מוליק 15,13.2.2015,190,20276,5.0,0,2014,13,2,2015,3852440.0
בירנבוים בנחלה,11.2.2015,130,22346,5.0,8,2015,11,2,2015,2904980.0
בראשית - נחלת יהודה ראשון לציון,6.2.2015,110,19363,4.0,7,2012,6,2,2015,2129930.0
פרויקט Y ראשון לציון,19.1.2015,120,25000,5.0,8,2014,19,1,2015,3000000.0
פרשקובסקי בנחלת החדשה,14.1.2015,135,17333,5.0,6,2009,14,1,2015,2339955.0
פרשקובסקי בנחלת החדשה,1.1.2015,134,16492,5.0,1,2012,1,1,2015,2209928.0
כהן אלי 9,1.1.2015,57,20175,3.5,2,2000,1,1,2015,1149975.0
צמיר אלימלך 45,31.12.2014,170,17647,5.0,1,2014,31,12,2014,2999990.0
בראשית - נחלת יהודה ראשון לציון,21.12.2014,129,18914,5.0,6,2011,21,12,2014,2439906.0
בראשית - נחלת יהודה ראשון לציון,19.12.2014,100,21239,4.0,6,2011,19,12,2014,2123900.0
בירנבוים בנחלה,18.12.2014,120,18654,5.0,3,2014,18,12,2014,2238480.0
פינסקר 25,14.12.2014,293,13822,6.0,1,2008,14,12,2014,4049846.0
פרשקובסקי בנחלת החדשה,10.12.2014,125,20800,5.0,10,2012,10,12,2014,2600000.0
אוזן אהרון 28,9.12.2014,290,12068,5.0,0,2011,9,12,2014,3499720.0
עמיחי בנחלה,7.12.2014,125,18004,5.0,10,2013,7,12,2014,2250500.0
הבנים 3,30.11.2014,170,15735,6.0,0,2013,30,11,2014,2674950.0
בירנבוים בנחלה,10.11.2014,120,18654,5.0,3,2014,10,11,2014,2238480.0
ההדר 9,30.10.2014,191,18298,5.0,0,1990,30,10,2014,3494918.0
Y7 נחלת יהודה - ראשון לציון,28.10.2014,125,29228,5.0,9,2014,28,10,2014,3653500.0
עובדיה 29,28.10.2014,294,12074,5.0,0,2011,28,10,2014,3549756.0
אשר אורנבך 5 ראשון לציון,27.10.2014,101,16121,4.0,1,2015,27,10,2014,1628221.0
פרויקט Y ראשון לציון,15.10.2014,110,19090,5.0,3,2012,15,10,2014,2099900.0
כהן אלי 11,13.10.2014,57,20438,3.0,3,1974,13,10,2014,1164966.0
שורשים בנחלה ראשון לציון,6.10.2014,98,17500,4.0,1,2014,6,10,2014,1715000.0
בירנבוים בנחלה,5.10.2014,105,17380,4.0,6,2014,5,10,2014,1824900.0
גבורי ישראל 3,24.9.2014,60,16666,3.0,1,1970,24,9,2014,999960.0
כהן אלי 11,22.9.2014,57,20000,3.0,1,1980,22,9,2014,1140000.0
פרויקט Y ראשון לציון,18.9.2014,108,16018,4.0,1,2009,18,9,2014,1729944.0
מוריי גל-מן 9,17.9.2014,250,14072,7.0,0,2013,17,9,2014,3518000.0
העצמאות 14,17.9.2014,170,20882,8.0,0,2014,17,9,2014,3549940.0
