adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
השירה העברית 4,29.3.2015,81,16666,4.0,2,1995,29,3,2015,1349946.0
אבא קובנר ,26.3.2015,109,15645,4.0,13,2015,26,3,2015,1705305.0
"ריב""ל 12",25.3.2015,99,18636,4.5,8,1997,25,3,2015,1844964.0
"הרשב""א 20",25.3.2015,65,21076,3.0,8,2005,25,3,2015,1369940.0
מעגל השלום 7,24.3.2015,108,23148,5.0,0,1999,24,3,2015,2499984.0
"הרשב""א 20",22.3.2015,81,19259,4.0,8,1997,22,3,2015,1559979.0
אלתרמן 2,22.3.2015,109,20825,5.0,2,1996,22,3,2015,2269925.0
גור 9,16.3.2015,121,19008,5.0,9,1996,16,3,2015,2299968.0
קאפח 5,16.3.2015,111,16576,4.5,6,1998,16,3,2015,1839936.0
אבן גבירול 99,16.3.2015,125,17247,5.0,5,2014,16,3,2015,2155875.0
אבן גבירול 99,6.3.2015,92,20498,4.0,5,2014,6,3,2015,1885816.0
נסיה 9,5.3.2015,41,28658,2.5,2,2006,5,3,2015,1174978.0
אלקבץ 5,4.3.2015,120,14875,5.0,10,1997,4,3,2015,1785000.0
בן סרוק 14,4.3.2015,69,21681,3.5,6,1997,4,3,2015,1495989.0
גור 3,4.3.2015,121,17355,5.0,10,1996,4,3,2015,2099955.0
נסיה 14,23.2.2015,98,16938,4.0,5,1995,23,2,2015,1659924.0
בן סרוק 12,19.2.2015,83,20662,4.0,12,2000,19,2,2015,1714946.0
"ריב""ל 6",18.2.2015,95,17894,4.0,5,1997,18,2,2015,1699930.0
"הרשב""א 15",15.2.2015,83,19578,4.0,3,2002,15,2,2015,1624974.0
"נריה,נרב 4",15.2.2015,100,16450,4.0,1,1996,15,2,2015,1645000.0
אבא קובנר ,12.2.2015,92,20281,4.0,4,2014,12,2,2015,1865852.0
השירה העברית 4,11.2.2015,65,20461,3.0,4,1995,11,2,2015,1329965.0
הרבי מלובביץ 18,10.2.2015,85,19117,4.0,2,1998,10,2,2015,1624945.0
נסיה 15,8.2.2015,141,21276,4.0,4,2001,8,2,2015,2999916.0
"הרשב""א 4",5.2.2015,102,14215,4.0,7,1997,5,2,2015,1449930.0
קלישר 9,4.2.2015,65,19923,3.0,1,1888,4,2,2015,1294995.0
הנגיד 20,31.1.2015,81,18703,4.0,1,1997,31,1,2015,1514943.0
"ריב""ל 12",28.1.2015,108,16666,4.5,8,1996,28,1,2015,1799928.0
אלקבץ 13,18.1.2015,75,19733,3.5,1,1975,18,1,2015,1479975.0
גור 17,14.1.2015,102,20196,5.0,2,2006,14,1,2015,2059992.0
הרבי מלובביץ 9,14.1.2015,65,19230,3.0,1,1996,14,1,2015,1249950.0
"הרשב""א 14",13.1.2015,82,18780,4.0,4,2000,13,1,2015,1539960.0
הנגיד 7,12.1.2015,49,40816,5.0,5,1992,12,1,2015,1999984.0
גור 18,7.1.2015,98,16785,4.0,2,2002,7,1,2015,1644930.0
אלקבץ 13,6.1.2015,109,17201,5.0,5,2002,6,1,2015,1874909.0
נסיה 13,6.1.2015,66,20500,3.0,1,1997,6,1,2015,1353000.0
שער הים - ראשון לציון,6.1.2015,100,21499,4.0,17,2013,6,1,2015,2149900.0
גור 3,5.1.2015,95,17652,4.0,9,1997,5,1,2015,1676940.0
שער הים - ראשון לציון,31.12.2014,80,18561,3.0,1,2014,31,12,2014,1484880.0
הרבי מלובביץ 8,30.12.2014,102,14950,4.0,1,2000,30,12,2014,1524900.0
גור 17,28.12.2014,102,17745,4.0,1,2007,28,12,2014,1809990.0
גור 17,25.12.2014,104,17500,4.0,1,1995,25,12,2014,1820000.0
בן סרוק 14,24.12.2014,108,17129,5.0,3,1996,24,12,2014,1849932.0
אונטרמן 18,18.12.2014,82,18512,4.0,5,1997,18,12,2014,1517984.0
גור 9,17.12.2014,176,18181,6.0,12,1997,17,12,2014,3199856.0
"הרשב""א 13",9.12.2014,83,18975,4.0,8,2000,9,12,2014,1574925.0
גור 13,8.12.2014,90,18333,4.0,4,2005,8,12,2014,1649970.0
מורשת ישראל 9,7.12.2014,65,20923,3.0,7,1997,7,12,2014,1359995.0
אונטרמן 4,4.12.2014,100,18200,4.0,8,2008,4,12,2014,1820000.0
נסיה 11,1.12.2014,141,17907,5.0,4,2000,1,12,2014,2524887.0
ההגנה 19,28.11.2014,70,20857,3.0,2,2000,28,11,2014,1459990.0
גינדי gardens שלב ב ראשון לציון,27.11.2014,125,15347,5.0,8,2015,27,11,2014,1918375.0
גור 9,25.11.2014,67,20149,3.0,1,1997,25,11,2014,1349983.0
בן סרוק 14,25.11.2014,108,16666,4.0,10,2003,25,11,2014,1799928.0
אלקבץ 7,25.11.2014,94,18297,4.0,10,2000,25,11,2014,1719918.0
בן סרוק 10,20.11.2014,70,20714,3.5,2,1990,20,11,2014,1449980.0
נסיה 12,20.11.2014,82,18048,4.0,1,2000,20,11,2014,1479936.0
גור 3,19.11.2014,96,17604,4.0,11,1996,19,11,2014,1689984.0
קלישר 6,19.11.2014,95,16105,4.0,2,1978,19,11,2014,1529975.0
הנגיד 3,19.11.2014,96,16979,4.0,9,2000,19,11,2014,1629984.0
הנגיד 5,19.11.2014,128,19335,6.0,11,2000,19,11,2014,2474880.0
הנגיד 18,19.11.2014,100,17500,4.0,9,1998,19,11,2014,1750000.0
גינדי gardens שלב ב ראשון לציון,18.11.2014,125,14936,5.0,5,2015,18,11,2014,1867000.0
הנגיד 20,17.11.2014,100,13250,4.0,2,1997,17,11,2014,1325000.0
מורשת ישראל 18,16.11.2014,65,20846,3.0,6,2000,16,11,2014,1354990.0
גינדי gardens שלב ב ראשון לציון,13.11.2014,125,15231,5.0,5,2015,13,11,2014,1903875.0
קאפח 13,10.11.2014,74,18378,3.0,10,2001,10,11,2014,1359972.0
אלחריזי 2,10.11.2014,121,15785,5.0,0,2000,10,11,2014,1909985.0
גור 3,9.11.2014,122,18032,5.0,9,1990,9,11,2014,2199904.0
שלונסקי 3,9.11.2014,108,25425,5.0,0,2008,9,11,2014,2745900.0
גינדי gardens שלב ב ראשון לציון,6.11.2014,125,18141,5.0,0,2015,6,11,2014,2267625.0
גינדי gardens שלב ב ראשון לציון,6.11.2014,100,16025,4.0,1,2015,6,11,2014,1602500.0
אלתרמן 12,4.11.2014,109,19495,5.0,0,2000,4,11,2014,2124955.0
נסיה 12,31.10.2014,82,18073,4.0,2,1997,31,10,2014,1481986.0
נסיה 9,30.10.2014,41,26829,2.5,1,2003,30,10,2014,1099989.0
אלחריזי 18,28.10.2014,91,20879,4.0,3,2000,28,10,2014,1899989.0
"ריב""ל 4",26.10.2014,97,15463,5.0,6,1998,26,10,2014,1499911.0
אלקבץ 9,23.10.2014,66,19545,3.0,3,2000,23,10,2014,1289970.0
תור הזהב 18,23.10.2014,65,20000,3.0,3,1995,23,10,2014,1300000.0
הנגיד 20,23.10.2014,81,18086,4.0,6,1980,23,10,2014,1464966.0
בן סרוק 14,22.10.2014,84,17738,4.0,2,1998,22,10,2014,1489992.0
הרבי מלובביץ 8,22.10.2014,65,19769,3.0,2,1977,22,10,2014,1284985.0
"ריב""ל 12",21.10.2014,120,12916,4.0,5,1995,21,10,2014,1549920.0
גור 3,20.10.2014,128,23828,5.0,11,1997,20,10,2014,3049984.0
"הרשב""א 17",14.10.2014,82,18109,4.0,7,1888,14,10,2014,1484938.0
